miR-145.Plasma,miR-145.Tumor,miR-195b.Plasma,miR-195b.Tumor
0.809,0.668,1.459,1.249
0.789,0.659,1.387,1.187
0.779,0.659,2.044,1.576
0.779,0.659,2.045,1.584
0.777,0.666,1.607,1.576
0.771,0.62,1.621,1.589
0.756,0.668,1.601,1.569
0.774,0.693,1.652,1.619
0.744,0.693,1.599,1.568
0.771,0.693,1.675,1.642
0.814,0.693,1.599,1.568
0.814,0.757,1.171,1.21
0.818,0.757,1.58,1.633
0.877,0.757,1.561,1.614
0.856,0.757,1.58,1.633
0.814,0.788,1.783,1.703
0.82,0.789,1.609,1.31
0.822,0.788,2.171,1.767
0.82,0.732,2.12,1.725
0.778,0.732,2.171,1.767
0.777,0.655,2.166,1.763
0.774,0.655,2.231,1.816
0.779,0.646,2.557,1.188
0.776,0.646,2.182,1.776
0.775,0.646,2.227,1.812
0.778,0.646,2.35,1.727
0.75,0.646,2.227,1.866
0.74,0.665,2.231,1.816
0.773,0.665,2.482,1.894
0.719,0.661,2.485,1.896
0.779,0.66,2.477,1.89
0.787,0.661,2.535,1.934
0.78,0.661,2.379,1.815
0.8,0.629,2.485,1.896
0.788,0.628,2.438,1.61
0.771,0.628,2.438,1.56
0.754,0.646,2.509,1.914
0.764,0.646,2.379,1.815
0.744,0.646,2.371,1.808
0.775,0.646,2.381,1.816
0.771,0.684,2.379,1.815
0.771,0.685,2.386,1.838
0.771,0.684,2.386,1.83
0.778,0.623,2.535,1.997
0.777,0.705,2.553,1.934
0.777,0.703,2.485,1.896
0.979,0.705,2.54,1.937
0.976,0.701,2.535,1.934
0.976,0.7,2.533,1.937
0.976,0.701,2.538,1.936
0.788,0.7,2.532,1.932
0.93,0.665,2.53,1.997
0.978,0.665,2.511,1.93
0.979,0.665,2.011,1.743
0.979,0.665,2.484,1.895
0.979,0.665,2.385,1.819
0.979,0.665,2.53,1.93
0.975,0.665,2.301,1.743
0.975,0.665,2.511,1.927
0.975,0.665,2.531,1.927
0.975,0.663,2.513,1.923
0.98,0.664,2.484,1.895
0.98,0.668,2.53,1.93
0.98,0.662,2.512,1.974
0.971,0.665,2.121,1.974
0.971,0.664,2.484,1.895
0.978,0.664,2.53,1.93
0.978,0.664,2.484,1.895
0.978,0.664,2.53,1.927
0.978,0.664,2.472,1.886
0.978,0.665,2.388,1.821
0.978,0.664,2.41,1.838
0.979,0.564,2.581,1.827
0.975,0.564,2.577,1.837
0.975,0.564,2.569,1.838
1.016,0.564,2.885,1.821
1.015,0.56,2.41,1.827
1.016,0.561,2.533,1.932
1.016,0.561,2.496,1.904
0.967,0.56,2.425,1.591
0.966,0.562,2.519,1.921
0.966,0.56,2.496,1.904
0.993,0.503,2.532,1.931
0.993,0.503,2.496,1.91
0.994,0.527,2.387,1.82
0.994,0.527,2.452,1.904
1.052,0.526,2.451,1.87
1.053,0.526,2.44,1.862
1.051,0.626,2.529,1.975
0.958,0.683,2.403,1.929
0.98,0.683,2.492,1.901
0.979,0.683,2.465,1.88
0.98,0.603,2.496,1.886
0.979,0.665,2.492,1.925
0.979,0.666,2.529,1.929
0.979,0.665,2.492,1.901
0.979,0.665,2.438,1.86
0.978,0.665,2.492,1.901
0.978,0.666,2.53,1.93
0.98,0.666,2.529,1.927
0.979,0.669,2.169,1.654
0.978,0.665,2.047,1.561
0.979,0.665,2.145,1.636
0.988,0.665,2.028,1.547
0.978,0.668,2.168,1.654
0.981,0.662,2.081,1.587
0.943,0.666,2.028,1.547
0.97,0.667,2.377,1.813
0.977,0.667,2.578,1.966
0.976,0.667,2.54,1.938
0.971,0.667,2.218,1.692
0.98,0.688,2.024,1.544
0.98,0.688,2.008,1.532
0.98,0.688,1.861,1.42
0.98,0.688,1.973,1.505
0.98,0.717,2.255,1.72
0.801,0.717,2.015,1.537
0.98,0.717,1.892,1.443
0.792,0.67,2.037,1.554
0.793,0.67,2.111,1.61
0.795,0.67,1.901,1.45
0.795,0.67,1.973,1.505
0.904,0.669,1.886,1.439
0.919,0.665,2.119,1.616
0.912,0.665,2.489,1.898
0.905,0.665,2.621,1.999
0.924,0.665,2.097,1.599
0.903,0.666,2.219,1.693
0.904,0.666,2.039,1.555
0.905,0.668,2.165,1.652
0.941,0.668,2.791,2.129
0.941,0.668,1.978,1.509
0.938,0.668,1.906,1.454
0.939,0.665,2.261,1.725
0.939,0.665,2.299,1.754
1.024,0.665,2.293,1.749
1.024,0.665,1.98,1.51
1.025,0.665,2.258,1.723
0.904,0.665,2.02,1.541
0.974,0.665,2.053,1.566
0.975,0.668,2.159,1.647
0.974,0.668,2.392,1.825
0.974,0.668,1.943,1.482
0.974,0.663,2.225,1.697
0.975,0.67,2.015,1.537
0.977,0.67,2.186,1.667
0.936,0.67,2.224,1.696
0.972,0.669,2.012,1.535
0.976,0.669,2.051,1.564
0.972,0.669,1.907,1.455
0.974,0.669,1.943,1.482
0.972,0.67,2.073,1.581
0.978,0.669,2.303,1.756
0.935,0.979,2.22,1.694
0.986,0.976,2.359,1.799
0.935,0.976,2.115,1.613
0.927,0.976,2.254,1.719
0.998,0.788,1.91,1.457
0.91,0.93,2.07,1.579
0.972,0.978,2.026,1.546
0.945,0.979,1.915,1.461
0.927,0.979,2.025,1.544
0.998,0.979,2.294,1.75
0.921,0.979,2.102,1.603
0.998,0.975,2.37,1.808
0.918,0.975,2.12,1.617
0.945,0.975,2.149,1.639
0.945,0.975,2.36,1.8
0.98,0.98,2.156,1.645
0.982,0.98,2.081,1.587
0.9,0.98,1.999,1.525
0.962,0.971,2.051,1.564
0.988,0.971,1.97,1.502
0.965,0.978,2.177,1.661
0.964,0.978,1.997,1.523
0.963,0.978,2.215,1.69
0.98,0.978,2.088,1.593
0.923,0.978,2.196,1.675
0.974,0.978,2.117,1.615
0.976,0.978,2.087,1.592
0.975,0.975,2.113,1.612
0.975,0.975,1.89,1.442
0.988,1.016,2.155,1.644
0.977,1.015,2.147,1.638
0.979,1.016,2.039,1.555
0.9,1.016,1.995,1.522
0.979,0.967,1.902,1.451
0.978,0.966,1.995,1.522
0.939,0.966,1.845,1.407
0.935,0.993,2.377,1.813
0.974,0.993,1.865,1.422
0.914,0.994,2.359,1.799
0.91,0.994,2.123,1.619
0.953,1.052,2.07,1.579
0.978,1.053,1.835,1.399
0.974,1.051,2.022,1.542
