foldChange145,fonte,foldChange195b,fonte.2
0.809,Plasma,1.459,Plasma
0.789,Plasma,1.387,Plasma
0.779,Plasma,2.044,Plasma
0.779,Plasma,2.045,Plasma
0.777,Plasma,1.607,Plasma
0.771,Plasma,1.621,Plasma
0.756,Plasma,1.601,Plasma
0.774,Plasma,1.652,Plasma
0.744,Plasma,1.599,Plasma
0.771,Plasma,1.675,Plasma
0.814,Plasma,1.599,Plasma
0.814,Plasma,1.171,Plasma
0.818,Plasma,1.58,Plasma
0.877,Plasma,1.561,Plasma
0.856,Plasma,1.58,Plasma
0.814,Plasma,1.783,Plasma
0.82,Plasma,1.609,Plasma
0.822,Plasma,2.171,Plasma
0.82,Plasma,2.12,Plasma
0.778,Plasma,2.171,Plasma
0.777,Plasma,2.166,Plasma
0.774,Plasma,2.231,Plasma
0.779,Plasma,2.557,Plasma
0.776,Plasma,2.182,Plasma
0.775,Plasma,2.227,Plasma
0.778,Plasma,2.35,Plasma
0.75,Plasma,2.227,Plasma
0.74,Plasma,2.231,Plasma
0.773,Plasma,2.482,Plasma
0.719,Plasma,2.485,Plasma
0.779,Plasma,2.477,Plasma
0.787,Plasma,2.535,Plasma
0.78,Plasma,2.379,Plasma
0.8,Plasma,2.485,Plasma
0.788,Plasma,2.438,Plasma
0.771,Plasma,2.438,Plasma
0.754,Plasma,2.509,Plasma
0.764,Plasma,2.379,Plasma
0.744,Plasma,2.371,Plasma
0.775,Plasma,2.381,Plasma
0.771,Plasma,2.379,Plasma
0.771,Plasma,2.386,Plasma
0.771,Plasma,2.386,Plasma
0.778,Plasma,2.535,Plasma
0.777,Plasma,2.553,Plasma
0.777,Plasma,2.485,Plasma
0.979,Plasma,2.54,Plasma
0.976,Plasma,2.535,Plasma
0.976,Plasma,2.533,Plasma
0.976,Plasma,2.538,Plasma
0.788,Plasma,2.532,Plasma
0.93,Plasma,2.53,Plasma
0.978,Plasma,2.511,Plasma
0.979,Plasma,2.011,Plasma
0.979,Plasma,2.484,Plasma
0.979,Plasma,2.385,Plasma
0.979,Plasma,2.53,Plasma
0.975,Plasma,2.301,Plasma
0.975,Plasma,2.511,Plasma
0.975,Plasma,2.531,Plasma
0.975,Plasma,2.513,Plasma
0.98,Plasma,2.484,Plasma
0.98,Plasma,2.53,Plasma
0.98,Plasma,2.512,Plasma
0.971,Plasma,2.121,Plasma
0.971,Plasma,2.484,Plasma
0.978,Plasma,2.53,Plasma
0.978,Plasma,2.484,Plasma
0.978,Plasma,2.53,Plasma
0.978,Plasma,2.472,Plasma
0.978,Plasma,2.388,Plasma
0.978,Plasma,2.41,Plasma
0.979,Plasma,2.581,Plasma
0.975,Plasma,2.577,Plasma
0.975,Plasma,2.569,Plasma
1.016,Plasma,2.885,Plasma
1.015,Plasma,2.41,Plasma
1.016,Plasma,2.533,Plasma
1.016,Plasma,2.496,Plasma
0.967,Plasma,2.425,Plasma
0.966,Plasma,2.519,Plasma
0.966,Plasma,2.496,Plasma
0.993,Plasma,2.532,Plasma
0.993,Plasma,2.496,Plasma
0.994,Plasma,2.387,Plasma
0.994,Plasma,2.452,Plasma
1.052,Plasma,2.451,Plasma
1.053,Plasma,2.44,Plasma
1.051,Plasma,2.529,Plasma
0.958,Plasma,2.403,Plasma
0.98,Plasma,2.492,Plasma
0.979,Plasma,2.465,Plasma
0.98,Plasma,2.496,Plasma
0.979,Plasma,2.492,Plasma
0.979,Plasma,2.529,Plasma
0.979,Plasma,2.492,Plasma
